booking_id,customer_id,hotel_name,room_type,price_per_night,nights,total_amount,rating,payment_method,booking_platform,booking_date,check_in_date,check_out_date,discount,cancellation_policy,is_cancelled,booking_status
BKG100000,CUST52214,Amman Grand Hotel,Deluxe,166.54,2,333.08,3.4,Credit Card,Direct,2023-04-28,2023-05-22,2023-05-24,0,Partial Refund,0,Checked-out
BKG100001,CUST26783,Amman Grand Hotel,Suite,304.56,10,2893.32,4.5,Credit Card,Booking.com,2023-07-18,2023-08-20,2023-08-30,5,Free Cancellation,0,Checked-out
BKG100002,CUST47217,Amman Grand Hotel,Single,82.63,4,280.94,3.6,Credit Card,Direct,2025-07-29,2025-08-01,2025-08-05,15,Free Cancellation,0,Checked-out
BKG100003,CUST16494,Amman Grand Hotel,Single,56.85,3,162.02,4.7,Online Payment,Expedia,2023-02-28,2023-03-20,2023-03-23,5,Non-refundable,0,Checked-out
BKG100004,CUST41189,Amman Grand Hotel,Suite,312.53,1,296.9,3.8,Bank Transfer,Direct,2025-05-22,2025-06-07,2025-06-08,5,Partial Refund,0,Checked-out
BKG100005,CUST38295,Amman Grand Hotel,Single,74.51,2,126.67,5.0,Credit Card,Agoda,2025-10-18,2025-11-01,2025-11-03,15,Partial Refund,0,Checked-out
BKG100006,CUST43598,Amman Grand Hotel,Double,88.91,2,151.15,4.3,Credit Card,Booking.com,2024-03-15,2024-04-03,2024-04-05,15,Non-refundable,0,Checked-out
BKG100007,CUST22727,Amman Grand Hotel,Single,54.17,2,102.92,4.2,Credit Card,Agoda,2024-12-30,2025-01-25,2025-01-27,5,Free Cancellation,0,Checked-out
BKG100008,CUST16414,Amman Grand Hotel,Deluxe,107.95,1,102.55,3.5,Cash,Direct,2025-12-28,2026-01-24,2026-01-25,5,Free Cancellation,0,Checked-out
BKG100009,CUST13826,Amman Grand Hotel,Single,89.07,1,80.16,3.7,Online Payment,Booking.com,2023-08-17,2023-08-27,2023-08-28,10,Partial Refund,0,Checked-out
BKG100010,CUST41189,Amman Grand Hotel,Family,252.37,5,1198.76,4.0,Online Payment,Booking.com,2025-07-23,2025-07-28,2025-08-02,5,Partial Refund,0,Checked-out
